엽종분류,업종명,영업자시작일,업소명,소재지도로명주소,소재지지번주소,전화번호,데이터기준일자
휴게음식점,휴게음식점,1995-06-01,야자수,"광주광역시 동구 백서로137번길 7 (금동,(1층))",광주광역시 동구 금동 167 (1층) ,062-232-3340,2020-09-18
일반음식점,일반음식점,1995-08-18,유달,광주광역시 동구 백서로125번길 29 (금동),광주광역시 동구 금동 20-4 ,062-226-5244,2020-09-18
제과점영업,제과점영업,1995-11-01,파리바게트 조대후문점,"광주광역시 동구 필문대로273번길 8-1, 1,2층 (지산동)","광주광역시 동구 지산동 518-7 1, 2층 ",062-226-8165,2020-09-18
일반음식점,일반음식점,1995-12-29,궁전,"광주광역시 동구 제봉로 19 (학동,(지하))",광주광역시 동구 학동 65-6 (지하) ,062-222-8013,2020-09-18
일반음식점,일반음식점,1996-01-31,충오식당,광주광역시 동구 구성로 154 (수기동),광주광역시 동구 수기동 50 ,062-228-7251,2020-09-18
일반음식점,일반음식점,1996-03-15,제일머리,광주광역시 동구 제봉로190번길 3 (대인동),광주광역시 동구 대인동 309-20 ,062-228-0678,2020-09-18
일반음식점,일반음식점,1996-04-19,와그너옛집,광주광역시 동구 증심천로 53 (학동),광주광역시 동구 학동 280 ,062-232-4198,2020-09-18
일반음식점,일반음식점,1996-05-23,대우,"광주광역시 동구 의재로26번길 3 (학동,외1필지(735-6) 1,2층)","광주광역시 동구 학동 735-7 외1필지(735-6) 1,2층 ",062-222-5595,2020-09-18
일반음식점,일반음식점,1996-05-29,나산식당,"광주광역시 동구 제봉로213번길 6 (대인동,(1,2층))","광주광역시 동구 대인동 21-29 (1,2층) ",062-225-9298,2020-09-18
일반음식점,일반음식점,1996-08-14,갑순이네손맛,광주광역시 동구 제봉로82번길 13-6 (서석동),광주광역시 동구 서석동 42-11 ,062-224-6400,2020-09-18
일반음식점,일반음식점,1997-04-07,남동숯불갈비,광주광역시 동구 무등로384번길 5 (계림동),광주광역시 동구 계림동 522-9 ,062-234-3210,2020-09-18
일반음식점,일반음식점,1997-05-01,민속손칼국수,"광주광역시 동구 제봉로17번길 5-2, 1층 (학동)",광주광역시 동구 학동 61-46 ,062-232-9233,2020-09-18
일반음식점,일반음식점,1997-05-09,박서방국밥,광주광역시 동구 무등로307번길 24-1 (계림동),광주광역시 동구 계림동 546-35 ,062-522-3298,2020-09-18
일반음식점,일반음식점,1997-06-17,동보성,광주광역시 동구 금남로 164-4 (금남로5가),광주광역시 동구 금남로5가 62-8 ,062-224-7111,2020-09-18
일반음식점,일반음식점,1997-11-25,도화식당,광주광역시 동구 경양로247번길 8-1 (계림동),광주광역시 동구 계림동 486-6 ,062-222-0045,2020-09-18
일반음식점,일반음식점,1997-12-09,진성오리촌,광주광역시 동구 제봉로194번길 4-4 (대인동),광주광역시 동구 대인동 313-10 ,062-226-4593,2020-09-18
일반음식점,일반음식점,1998-05-23,더조은,광주광역시 동구 밤실로 18 (지산동),광주광역시 동구 지산동 250-17 ,062-225-1192,2020-09-18
일반음식점,일반음식점,1998-07-27,동부식당,"광주광역시 동구 제봉로82번길 3-1, 1층 (서석동)",광주광역시 동구 서석동 50-1 1층 ,062-224-5682,2020-09-18
일반음식점,일반음식점,1998-09-07,장수식당,광주광역시 동구 제봉로 102-10 (장동),광주광역시 동구 장동 101-72 ,062-228-2686,2020-09-18
일반음식점,일반음식점,1998-10-23,스넥코너(우동),"광주광역시 동구 중앙로 358 (계림동,(2층)212호)",광주광역시 동구 계림동 100-11 (2층)212호 ,062-528-8739,2020-09-18
일반음식점,일반음식점,1998-11-03,황태촌,광주광역시 동구 필문대로205번길 14 (지산동),광주광역시 동구 지산동 713-10 ,062-232-0606,2020-09-18
일반음식점,일반음식점,1998-11-20,영광식당,"광주광역시 동구 동계천로 55-8 (계림동,(1층))",광주광역시 동구 계림동 393-1 (1층) ,062-222-5048,2020-09-18
일반음식점,일반음식점,1999-01-14,금남분식,"광주광역시 동구 구성로 181 (금남로5가,(1층))",광주광역시 동구 금남로5가 94-12 (1층) ,062-223-3130,2020-09-18
일반음식점,일반음식점,1999-04-08,나주식당,광주광역시 동구 동계천로53번길 2 (대인동),광주광역시 동구 대인동 307-38 ,062-224-6943,2020-09-18
일반음식점,일반음식점,1999-04-12,학사촌,광주광역시 동구 서남로33번길 9-2 (서석동),광주광역시 동구 서석동 7-20 ,062-223-8965,2020-09-18
일반음식점,일반음식점,1999-08-27,다시식당,"광주광역시 동구 동계천로 57 (대인동,(나동 6,7호))","광주광역시 동구 대인동 307-2 (나동 6,7호) ",062-222-1687,2020-09-18
일반음식점,일반음식점,1999-12-08,명성식당,,광주광역시 동구 학동 55-12 (1층) ,062-228-3029,2020-09-18
일반음식점,일반음식점,2000-01-13,토박이식당,광주광역시 동구 서남로33번길 1 (서석동),광주광역시 동구 서석동 435-12 ,062-222-6168,2020-09-18
일반음식점,일반음식점,2000-02-11,서강식당,광주광역시 동구 경양로247번길 8-1 (계림동),광주광역시 동구 계림동 486-6 ,062-225-1491,2020-09-18
일반음식점,일반음식점,2000-02-25,중화반점,광주광역시 동구 천변좌로604번길 3-1 (소태동),광주광역시 동구 소태동 914 ,,2020-09-18
일반음식점,일반음식점,2000-03-25,푸른스넥,광주광역시 동구 백서로153번길 3-1 (남동),광주광역시 동구 남동 67-1 ,062-226-9504,2020-09-18
일반음식점,일반음식점,2000-06-13,창평국밥,"광주광역시 동구 학소로 132-1 (학동,(1층))",광주광역시 동구 학동 781-3 (1층) ,062-225-8090,2020-09-18
일반음식점,일반음식점,2000-07-01,낙지마을,"광주광역시 동구 지산로78번길 9 (지산동,(지하))",광주광역시 동구 지산동 342-70 (지하) ,062-225-5592,2020-09-18
일반음식점,일반음식점,2000-09-06,맛있는집,광주광역시 동구 지산로 52 (지산동),광주광역시 동구 지산동 445-8 ,062-226-0590,2020-09-18
일반음식점,일반음식점,2000-10-25,뚝배기추어탕,광주광역시 동구 무등로321번길 3 (계림동),광주광역시 동구 계림동 560-8 ,062-521-8045,2020-09-18
일반음식점,일반음식점,2000-11-16,엄마네,"광주광역시 동구 문화전당로23번길 33 (금동,(1층))",광주광역시 동구 금동 77 (1층) ,062-234-7082,2020-09-18
일반음식점,일반음식점,2000-12-04,명지원,광주광역시 동구 구성로 252 (계림동),광주광역시 동구 계림동 465-35 ,062-227-3565,2020-09-18
일반음식점,일반음식점,2001-03-03,삼일식당,광주광역시 동구 경양로247번길 8-1 (계림동),광주광역시 동구 계림동 486-6 ,062-223-6029,2020-09-18
일반음식점,일반음식점,2001-06-04,골목포장마차,광주광역시 동구 서석로7번길 6-18 (불로동),광주광역시 동구 불로동 106-6 ,062-224-2065,2020-09-18
일반음식점,일반음식점,2001-06-18,여자만,광주광역시 동구 백서로 174-1 (서석동),광주광역시 동구 서석동 469-4 ,062-228-5176,2020-09-18
일반음식점,일반음식점,2001-07-09,청진해장국,광주광역시 동구 서남로 31 (서석동),광주광역시 동구 서석동 468 ,062-225-0053,2020-09-18
일반음식점,일반음식점,2001-07-18,산수유,"광주광역시 동구 준법로 10-1 (지산동,(1층,지하1))","광주광역시 동구 지산동 709-15 (1층,지하1) ",062-227-5008,2020-09-18
일반음식점,일반음식점,2001-08-07,김밥천국,광주광역시 동구 필문대로 175 (산수동),광주광역시 동구 산수동 539-16 ,062-269-5282,2020-09-18
일반음식점,일반음식점,2001-09-26,태화,광주광역시 동구 충장로46번길 18 (수기동),광주광역시 동구 수기동 60 ,062-232-7682,2020-09-18
일반음식점,일반음식점,2001-09-27,대운,광주광역시 동구 중앙로 264 (계림동),광주광역시 동구 계림동 253-31 ,062-224-7722,2020-09-18
일반음식점,일반음식점,2001-10-31,청우식육식당,"광주광역시 동구 구성로204번길 10, 1층 (대인동)",광주광역시 동구 대인동 67-1 1층 ,062-223-5358,2020-09-18
일반음식점,일반음식점,2001-11-01,삼원,"광주광역시 동구 구성로152번길 15 (충장로4가,(1층))",광주광역시 동구 충장로4가 57-1 (1층) ,062-225-0465,2020-09-18
일반음식점,일반음식점,2001-11-09,금강해물탕,광주광역시 동구 중앙로 149-6 (호남동),광주광역시 동구 호남동 32-22 ,062-225-5289,2020-09-18
일반음식점,일반음식점,2001-11-23,돈순이촌,광주광역시 동구 학소로 136 (학동),광주광역시 동구 학동 778 ,062-226-7335,2020-09-18
일반음식점,일반음식점,2001-12-13,청원모밀,광주광역시 동구 중앙로 174-1 (충장로3가),광주광역시 동구 충장로3가 31-7 ,062-222-2210,2020-09-18
일반음식점,일반음식점,2002-01-07,화롯불,광주광역시 동구 백서로 168 (서석동),광주광역시 동구 서석동 470-32 ,062-224-6519,2020-09-18
휴게음식점,휴게음식점,2002-01-23,광민,"광주광역시 동구 구성로194번길 9 (대인동,(지하))",광주광역시 동구 대인동 103-1 (지하) ,062-225-5097,2020-09-18
일반음식점,일반음식점,2002-01-24,대장금,"광주광역시 동구 필문대로287번길 24-28 (서석동,(1층))",광주광역시 동구 서석동 350-2 (1층) ,062-225-3599,2020-09-18
일반음식점,일반음식점,2002-02-26,광주양동닭전머리·수일통닭동구점,"광주광역시 동구 필문대로192번길 3 (산수동,(1층))",광주광역시 동구 산수동 556-3 (1층) ,062-226-6444,2020-09-18
일반음식점,일반음식점,2002-02-27,도이첸 충장로점,광주광역시 동구 중앙로160번길 31-6 (황금동),광주광역시 동구 황금동 63 ,062-223-5374,2020-09-18
일반음식점,일반음식점,2002-03-26,돼지갈비막창구이,"광주광역시 동구 무등로 414 (계림동,(1층))",광주광역시 동구 계림동 519-12 (1층) ,062-224-9521,2020-09-18
일반음식점,일반음식점,2002-05-23,동아리꼬치구이,"광주광역시 동구 필문대로 194 (산수동,(1층))",광주광역시 동구 산수동 556-15 (1층) ,062-222-9015,2020-09-18
일반음식점,일반음식점,2002-05-30,보양죽전문점,"광주광역시 동구 제봉로 35-2 (학동,(1층))",광주광역시 동구 학동 112-1 (1층) ,062-224-3529,2020-09-18
일반음식점,일반음식점,2002-08-05,송림원,광주광역시 동구 중앙로196번길 13 (궁동),광주광역시 동구 궁동 56-3 ,062-222-6414,2020-09-18
일반음식점,일반음식점,2002-08-12,데이지,"광주광역시 동구 증심천로 110 (학동,(1층))",광주광역시 동구 학동 262-12 (1층) ,062-234-5673,2020-09-18
일반음식점,일반음식점,2002-10-29,산수골맛집,"광주광역시 동구 필문대로159번길 25-14 (산수동,(1층))",광주광역시 동구 산수동 508-28 (1층) ,062-263-6798,2020-09-18
일반음식점,일반음식점,2002-11-05,스틸,"광주광역시 동구 밤실로 116-1 (산수동,(2,3층))","광주광역시 동구 산수동 108-8 (2,3층) ",062-251-1261,2020-09-18
일반음식점,일반음식점,2002-11-06,제일식당,광주광역시 동구 충장로안길 24 (황금동),광주광역시 동구 황금동 25-3 ,062-222-3421,2020-09-18
일반음식점,일반음식점,2002-11-09,새명가식당,"광주광역시 동구 지산로52번길 15-23 (지산동,(1층))",광주광역시 동구 지산동 429-4 (1층) ,062-222-9164,2020-09-18
일반음식점,일반음식점,2002-11-11,동천장어,"광주광역시 동구 독립로264번길 27, 1층 (대인동)",광주광역시 동구 대인동 27-22 ,062-225-0809,2020-09-18
일반음식점,일반음식점,2002-11-14,한미정,광주광역시 동구 금남로 162-10 (금남로5가),광주광역시 동구 금남로5가 59 ,062-227-1176,2020-09-18
일반음식점,일반음식점,2002-12-06,프르트팝,광주광역시 동구 충장로 82-2 (충장로2가),광주광역시 동구 충장로2가 23 ,062-232-6714,2020-09-18
일반음식점,일반음식점,2002-12-28,(주)명선헌,광주광역시 동구 지호로127번길 11 (지산동),광주광역시 동구 지산동 58 ,062-228-2942,2020-09-18
일반음식점,일반음식점,2002-12-30,영암오리,광주광역시 동구 필문대로187번길 1-6 (산수동),광주광역시 동구 산수동 523-29 ,062-224-4468,2020-09-18
일반음식점,일반음식점,2003-01-04,이스타나,광주광역시 동구 동계천로 95 (동명동),광주광역시 동구 동명동 230-15 (지하)1층 ,062-225-1232,2020-09-18
일반음식점,일반음식점,2003-01-08,새한병원구내식당,"광주광역시 동구 남문로 774 (학동,(4층))",광주광역시 동구 학동 44-18 (4층) ,062-221-7554,2020-09-18
일반음식점,일반음식점,2003-01-23,해동회관,광주광역시 동구 양림로119번길 19 (학동),광주광역시 동구 학동 157 ,062-224-5511,2020-09-18
일반음식점,일반음식점,2003-01-24,산들밭,광주광역시 동구 지산로89번길 7 (1)층 (지산동),광주광역시 동구 지산동 713-36 (1층) ,062-226-3241,2020-09-18
일반음식점,일반음식점,2003-03-24,서미정,"광주광역시 동구 구성로 158-1, 1층 (충장로5가)",광주광역시 동구 충장로5가 60-14 1층 ,,2020-09-18
일반음식점,일반음식점,2003-04-11,명성,광주광역시 동구 중앙로 261-1 (계림동),광주광역시 동구 계림동 254-3 ,062-224-7871,2020-09-18
일반음식점,일반음식점,2003-04-21,오미뚝배기,광주광역시 동구 동명로 8-5 (장동),광주광역시 동구 장동 58-19 ,062-227-2193,2020-09-18
일반음식점,일반음식점,2003-04-26,마징가,"광주광역시 동구 문화전당로35번길 3-6 (남동,(2층))",광주광역시 동구 남동 171-1 (2층) ,062-228-9931,2020-09-18
일반음식점,일반음식점,2003-05-02,정성,"광주광역시 동구 동계천로 47, 1층 (계림동)",광주광역시 동구 계림동 419-1 1층 ,062-227-8291,2020-09-18
일반음식점,일반음식점,2003-05-06,동명가원식당,"광주광역시 동구 필문대로 230 (동명동,(1층))",광주광역시 동구 동명동 18-12 (1층) ,062-232-8877,2020-09-18
일반음식점,일반음식점,2003-05-26,신락원,"광주광역시 동구 의재로 71 (학동,(1.2층))",광주광역시 동구 학동 276-9 (1.2층) ,062-224-1650,2020-09-18
일반음식점,일반음식점,2003-05-26,이모네,"광주광역시 동구 필문대로287번길 23-14 (지산동,(1층))",광주광역시 동구 지산동 505-1 (1층) ,062-227-9555,2020-09-18
일반음식점,일반음식점,2003-05-26,이모네-2,"광주광역시 동구 필문대로287번길 23-14 (지산동,(2층))",광주광역시 동구 지산동 505-1 (2층) ,062-227-9555,2020-09-18
일반음식점,일반음식점,2003-07-09,사운드오브뮤직,"광주광역시 동구 서석로85번길 22 (궁동,(1층))",광주광역시 동구 궁동 14-2 (1층) ,062-234-5679,2020-09-18
일반음식점,일반음식점,2003-07-14,계림식당,"광주광역시 동구 경양로243번길 14 (계림동,(1층))",광주광역시 동구 계림동 291-3 (1층) ,062-223-5292,2020-09-18
일반음식점,일반음식점,2003-08-06,음식사랑,"광주광역시 동구 지산로 9-3 (지산동,(1층))",광주광역시 동구 지산동 503-3 (1층) ,062-228-7312,2020-09-18
일반음식점,일반음식점,2003-08-12,처갓집양념치킨(두암타운),"광주광역시 동구 밤실로 147 (산수동,(두암타운상가 104,105호))","광주광역시 동구 산수동 568-1 (두암타운상가 104,105호) ",062-261-2962,2020-09-18
일반음식점,일반음식점,2003-10-27,아주커,광주광역시 동구 백서로 126 (학동),광주광역시 동구 학동 138-4 ,062-228-8550,2020-09-18
일반음식점,일반음식점,2003-11-10,소태회관,"광주광역시 동구 학소로 63 (소태동,(1층))",광주광역시 동구 소태동 621-4 (1층) ,062-236-2465,2020-09-18
일반음식점,일반음식점,2003-12-08,고속회관,"광주광역시 동구 지호로 74-2 (지산동,(1층))",광주광역시 동구 지산동 194-7 (1층) ,062-225-3319,2020-09-18
일반음식점,일반음식점,2004-02-03,화신,"광주광역시 동구 천변우로 363-17 (호남동,(1,2층))","광주광역시 동구 호남동 5-9 (1,2층) ",062-224-6712,2020-09-18
일반음식점,일반음식점,2004-02-16,안흥국밥,"광주광역시 동구 필문대로192번길 16-1 (산수동,(1층))",광주광역시 동구 산수동 557-30 (1층) ,062-225-7295,2020-09-18
일반음식점,일반음식점,2004-02-18,녹동숯불갈비,"광주광역시 동구 녹동길 80 (월남동,(1층))",광주광역시 동구 월남동 335 (1층) ,062-234-0316,2020-09-18
일반음식점,일반음식점,2004-03-11,고흥바다장어,"광주광역시 동구 금남로 193-1 (금남로5가,(1층))",광주광역시 동구 금남로5가 166 (1층) ,062-225-4700,2020-09-18
일반음식점,일반음식점,2004-03-15,여로,"광주광역시 동구 예술길 19-3, 1층 (궁동)",광주광역시 동구 궁동 35-4 (1층) ,062-222-7268,2020-09-18
일반음식점,일반음식점,2004-03-25,일등,광주광역시 동구 무등로307번길 11 (계림동),광주광역시 동구 계림동 544-5 ,062-524-5694,2020-09-18
일반음식점,일반음식점,2004-03-25,탱크카페,"광주광역시 동구 필문대로 187 (산수동,(2층))",광주광역시 동구 산수동 522-24 (2층) ,062-232-7789,2020-09-18
일반음식점,일반음식점,2004-04-01,홍능갈비,광주광역시 동구 충장로 101-21 (충장로1가),광주광역시 동구 충장로1가 1-6 ,062-222-1421,2020-09-18
일반음식점,일반음식점,2004-04-06,흥성식당,"광주광역시 동구 남문로693번길 12-5 (학동,외1필지(1층))",광주광역시 동구 학동 901-76 외1필지(1층) ,062-232-5077,2020-09-18
일반음식점,일반음식점,2004-04-06,지산식육식당,"광주광역시 동구 밤실로 36, 1층 (지산동)",광주광역시 동구 지산동 315 (1층) 101호 ,062-232-0276,2020-09-18
일반음식점,일반음식점,2004-05-10,김밥천국(충장점),광주광역시 동구 충장로 94-9 (충장로1가),광주광역시 동구 충장로1가 32 ,062-223-7009,2020-09-18
일반음식점,일반음식점,2004-05-31,자인세상,"광주광역시 동구 의재로 22 (학동,(2층))",광주광역시 동구 학동 735-16 (2층) ,062-227-1007,2020-09-18
일반음식점,일반음식점,2004-06-18,무등죽,"광주광역시 동구 증심천로 37-2 (학동,(1층))",광주광역시 동구 학동 820-1 (1층) ,062-226-6630,2020-09-18
일반음식점,일반음식점,2004-06-29,산수실내포장마차,"광주광역시 동구 경양로321번길 2-1 (산수동,(1층))",광주광역시 동구 산수동 371-21 (1층) ,062-227-9540,2020-09-18
일반음식점,일반음식점,2004-07-08,황보,광주광역시 동구 구성로238번길 10-1 (계림동),광주광역시 동구 계림동 460-6 (1층) ,062-234-9577,2020-09-18
일반음식점,일반음식점,2004-07-30,서석식당,"광주광역시 동구 백서로 171-3 (서석동,(1층))",광주광역시 동구 서석동 97-43 (1층) ,062-223-9009,2020-09-18
일반음식점,일반음식점,2004-08-09,종가집,광주광역시 동구 중앙로196번길 15-35 (궁동),광주광역시 동구 궁동 61-4 ,062-227-6116,2020-09-18
일반음식점,일반음식점,2004-10-15,밥'S,"광주광역시 동구 지산로 21 (지산동,(102호))",광주광역시 동구 지산동 500 (102호) ,062-222-2838,2020-09-18
일반음식점,일반음식점,2004-10-29,마로니에,"광주광역시 동구 구성로 191 (금남로5가,(지하))",광주광역시 동구 금남로5가 89-3 (지하) ,062-226-7475,2020-09-18
일반음식점,일반음식점,2004-11-23,아구랑낙지랑,"광주광역시 동구 필문대로205번길 39-2 (지산동,(1층))",광주광역시 동구 지산동 704-60 (1층) ,062-233-3900,2020-09-18
일반음식점,일반음식점,2004-12-08,특미정,광주광역시 동구 중흥로213번길 16-24 (계림동),광주광역시 동구 계림동 570-11 ,062-232-8166,2020-09-18
휴게음식점,휴게음식점,2004-12-29,동신다방,"광주광역시 동구 충장로58번길 1 (충장로4가,(2층))",광주광역시 동구 충장로4가 24 (2층) ,,2020-09-18
일반음식점,일반음식점,2005-02-25,오거리포장마차,광주광역시 동구 경양로 374-2 (산수동),광주광역시 동구 산수동 557-9 ,062-227-4880,2020-09-18
제과점영업,제과점영업,2005-03-10,꽃피는 춘삼월,광주광역시 동구 선교로 50 (선교동),광주광역시 동구 선교동 410-7 ,,2020-09-18
